unique_id,greenup_coef,abs_greenup_coef,greenup_p_value
Canada_555757473,-0.0906163209319597,0.0906163209319597,0.733602674320447
Canada_555757475,0.0829027118037193,0.0829027118037193,0.711699088384501
Canada_555757482,0.137555165040239,0.137555165040239,0.407226870091499
Canada_555757484,0.164434505199605,0.164434505199605,0.522777665592091
Canada_555757487,-0.0236656997133989,0.0236656997133989,0.934241341601277
Canada_555757488,0.00555162838965227,0.00555162838965227,0.981200507576226
Canada_555757490,-0.387480112024903,0.387480112024903,0.619515652040849
Canada_555757502,-0.260208317639945,0.260208317639945,0.359966478288109
Canada_555757506,-0.213908761532984,0.213908761532984,0.547303458961062
Canada_555757508,0.199596607751139,0.199596607751139,0.495355880943753
Canada_555757512,-0.690658169947871,0.690658169947871,0.209329819792847
Canada_555757514,-0.259238471116049,0.259238471116049,0.345409174470509
Canada_555757517,-0.0541684639691211,0.0541684639691211,0.839799442465542
Canada_555757519,0.318525389072358,0.318525389072358,0.203167332819767
Canada_555757525,0.227948618165917,0.227948618165917,0.467891270870229
Canada_555757528,0.0226962267627235,0.0226962267627235,0.90766362108981
Canada_555757532,0.0170512769685234,0.0170512769685234,0.943288280470814
Canada_555757538,0.34097009707817,0.34097009707817,0.165299523977687
Canada_555757540,0.285939441167588,0.285939441167588,0.202871104903279
Canada_555757544,0.13597717380436,0.13597717380436,0.579586683649727
Canada_555757548,0.299330886632583,0.299330886632583,0.163101298405335
Canada_555757552,-0.0649529867016256,0.0649529867016256,0.77237443166309
Canada_555757554,-0.0107628176484909,0.0107628176484909,0.960391302107933
Canada_555757555,0.155472584899049,0.155472584899049,0.41189276653575
Canada_555757558,-0.325917295102688,0.325917295102688,0.25602144124297
Canada_555757562,0.205343765773384,0.205343765773384,0.557038600744337
Canada_555757568,0.0901286518635192,0.0901286518635192,0.73078270179058
Canada_555757570,0.0641245752271656,0.0641245752271656,0.850516897120028
Canada_555757573,-0.0802564534698945,0.0802564534698945,0.766472868795529
Canada_555757578,0.0974562707203239,0.0974562707203239,0.75555825899663
Canada_555757579,0.0154620875602042,0.0154620875602042,0.954061760283294
Canada_555757580,-0.114251934912144,0.114251934912144,0.659428687627677
