unique_id,X,Y,og_layer,greenup_coef,abs_greenup_coef,greenup_p_value
Canada_167423_control,-69.553488510379,44.807141061835,controls,-0.104537040713336,0.104537040713336,0.64454276198758
Latvia_15777_control,25.8956541952864,57.2718492890219,controls,0.0623774609079229,0.0623774609079229,0.635636038739223
Russia_1654_control,30.6054379671346,59.2177137353061,controls,-0.0258072077008172,0.0258072077008172,0.830021767439794
Canada_167230_control,-96.968629702963,53.891368740258,controls,0.0239037698355881,0.0239037698355881,0.95889069213791
Canada_167425_A_control,-74.851058960664,45.8535013710544,controls,-0.0253728730241409,0.0253728730241409,0.835393639815922
Canada_167313_control,-115.240624345749,54.3376999714226,controls,-0.131142798492632,0.131142798492632,0.439181996290786
Canada_167380_control,-79.6319061215362,46.8478987158369,controls,0.0998417400471487,0.0998417400471487,0.704113105454074
Canada_167377_control,-70.5351166195795,44.9732919634342,controls,-0.204596601245063,0.204596601245063,0.1756439633556
Canada_167341_control,-102.341857489203,52.2414890181972,controls,0.147627149837769,0.147627149837769,0.451304132031151
Canada_167466_control,-107.562394924932,53.7693384016351,controls,-0.565209286748271,0.565209286748271,0.00356705672314543
Canada_167382_control,-119.218150436157,57.655941601682,controls,-0.388018459224048,0.388018459224048,0.0622812954868917
Canada_167498_control,-57.6155122793605,49.2445939176273,controls,-5.69907448354323,5.69907448354323,0.429323736460797
Canada_167361_control,-73.7588041691668,46.1930617569631,controls,-0.109402607950826,0.109402607950826,0.478936179264574
Canada_167369_control,-74.413744469122,48.085567961256,controls,0.10956514800642,0.10956514800642,0.58455323478815
Canada_167546_control,-86.1735983200231,46.5047261238937,controls,-0.11573819227782,0.11573819227782,0.520706378376771
Canada_167355_control,-112.83420518111,56.486140816093,controls,-0.258201237426009,0.258201237426009,0.39253615118162
Canada_167554_control,-74.9632507212878,49.8265309706144,controls,0.154821820683159,0.154821820683159,0.335169705935515
Canada_167469_control,-120.840120691345,58.2314331000543,controls,-0.413058776660151,0.413058776660151,0.0438931381713285
Canada_167590_control,-73.2523210022225,47.2755811674264,controls,0.15574465412979,0.15574465412979,0.294462440629969
Canada_167516_control,-119.012247878714,57.0885910924792,controls,-0.959390498910171,0.959390498910171,0.00912750278123611
Canada_167550_control,-92.3389282723108,51.8334187706409,controls,0.0364339830320265,0.0364339830320265,0.929324842756213
Austria_169109_control,38.288693875547,44.7427537009713,controls,-0.198777201165831,0.198777201165831,0.224167128559202
Latvia_1681_control,35.5258262448082,55.1913926074701,controls,0.00798023001723951,0.00798023001723951,0.948510165496837
Argentina_16873_control,-71.7392192431341,-52.2323841269687,controls,2.19660783977348,2.19660783977348,0.0739011907323302
Canada_167462_control,-131.827986975582,56.0167640395614,controls,-0.266119150968062,0.266119150968062,0.734966779749765
