unique_id,median_evi_coef,abs_median_evi_coef,median_evi_p_value
Sweden_10441,12.4024987431905,12.4024987431905,0.034140448857115
Burkina Faso_1049,1.78913386685369,1.78913386685369,0.880510247282469
North Macedonia_1050,0.688825568795913,0.688825568795913,0.946743732052016
Montenegro_1051,10.5845527004735,10.5845527004735,0.17509638816024
Bosnia and Herzegovina_1055,10.5397556820019,10.5397556820019,0.0496657773333754
United Kingdom_10558,35.4447010774369,35.4447010774369,0.00404727798466658
Australia_10586,24.4675958117387,24.4675958117387,0.00883338960229794
Australia_10589,-3.68573604403867,3.68573604403867,0.630755757130111
Montenegro_1059,5.25896564763126,5.25896564763126,0.34351575619901
Australia_10596,-1.12694767829341,1.12694767829341,0.895331526379844
Australia_10606,6.37500557719423,6.37500557719423,0.235202107424235
Australia_10628,21.4556898545798,21.4556898545798,0.000672971212395949
Sweden_106835,16.6386324092705,16.6386324092705,0.0843640183302197
Sweden_106838,18.8530379294019,18.8530379294019,0.000843309600780182
Chile_107,-5.55821076661129,5.55821076661129,0.566419234236325
Guatemala_107119,-1.99381355168293,1.99381355168293,0.737723672908565
Guatemala_107148,9.68777260757586,9.68777260757586,0.0456788079994508
Sierra Leone_10732,12.6348858098246,12.6348858098246,0.173314701982713
Ethiopia_10739,-9.90360206481391,9.90360206481391,0.238409222273278
El Salvador_107448,26.5950949333154,26.5950949333154,3.67158883203401e-05
Brazil_10795,5.70741281957637,5.70741281957637,0.65090434384457
Costa Rica_108140,23.6103991095895,23.6103991095895,0.0392429573651295
Costa Rica_108146,29.6405314095214,29.6405314095214,0.0012378356961524
Costa Rica_108151,-0.35984533493588,0.35984533493588,0.947462747510994
Costa Rica_108154,9.94399524935357,9.94399524935357,0.0857433038803022
Brazil_10822,3.43693405640879,3.43693405640879,0.487704243782905
Brazil_10823,0.447168295685243,0.447168295685243,0.945215660574963
South Sudan_1083,20.3164669984599,20.3164669984599,0.00641265640113505
Brazil_10842,-1.42167780004629,1.42167780004629,0.94796456956312
Brazil_10845,5.98811907622709,5.98811907622709,0.227755049640096
Brazil_10846,9.54815741743373,9.54815741743373,0.403928806792406
Zambia_1086,11.2041144977207,11.2041144977207,0.0770507641754474
Argentina_10862,-2.30460077030631,2.30460077030631,0.712470339549314
