unique_id,WDPA_PID,NAME,STATUS_YR,country,continent,max_species_body_mass,mean_species_body_mass,median_species_body_mass,herbivore_fg,predator_fg,trophic_groups,predator_fg_simple,herbivore_fg_simple,n_species_pa,n_herbi_sp_pa,n_carni_sp_pa,n_mixed_feeder_sp_pa,n_grazer_sp_pa,n_browser_sp_pa,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,n_native_sp_pa,n_introduced_sp_pa,percent_native_sp,percent_introduced_sp,intro_native_ratio,prop_species_w_occasional_predator,prop_species_w_regular_predator,elephant_yn,GIS_AREA
United States of America_11115224,11115224,Grizzly Mountain,1999,United States of America,North America,180.5204,83.4568,77.081,5,2,4,2,3,6,4,2,1,0,3,,0,3,5,1,0.833333333333333,0.166666666666667,0.2,1,0.25,no,2.75984874860779
United States of America_555608304,555608304,North Sand Hills Natural Area,1993,United States of America,North America,180.5204,78.5750111111111,55.5086,6,2,4,2,3,9,7,2,3,0,4,,0,1.33333333333333,9,0,1,0,0,1,0.571428571428571,no,2.75969395711657
United States of America_555607101,555607101,Limber Pine,1991,United States of America,North America,180.5204,71.6114571428572,54.2126,4,2,4,2,3,7,5,2,1,0,4,,0,4,7,0,1,0,0,1,0.6,no,2.75547815135218
United States of America_11115216,11115216,Devils Basin,1999,United States of America,North America,180.5204,83.4568,77.081,5,2,4,2,3,6,4,2,1,0,3,,0,3,5,1,0.833333333333333,0.166666666666667,0.2,1,0.25,no,2.74532809455621
United States of America_11115226,11115226,Hall Canyon,1899,United States of America,North America,180.5204,85.8128857142857,99.9494,5,2,4,2,3,6,4,2,1,0,3,,0,3,5,2,0.833333333333333,0.333333333333333,0.4,1,0.25,no,2.74280781615002
United States of America_376850,376850,White Pine Peak,1988,United States of America,North America,74.6449,47.98934,51.6,3,2,3,2,2,5,3,2,1,0,2,,0,2,5,0,1,0,0,1,1,no,2.73528543025276
United States of America_555606343,555606343,Hoosier Ridge,1996,United States of America,North America,180.5204,82.636525,65.07675,6,2,4,2,3,8,6,2,3,0,3,,0,1,8,0,1,0,0,1,0.5,no,2.72658425977311
United States of America_366446,366446,Bruin Mountain,1989,United States of America,North America,356.998,99.26412,54.8606,6,3,5,3,3,10,6,4,2,0,4,,0,2,10,0,1,0,0,1,1,no,2.72381411894813
United States of America_375631,375631,Swan River,1997,United States of America,North America,356.998,105.02735,65.07675,7,2,4,2,3,10,7,3,3,0,4,,0,1.33333333333333,10,0,1,0,0,1,1,no,2.72321622353794
United States of America_368293,368293,Emery Creek,1996,United States of America,North America,356.998,97.0260090909091,55.5086,7,3,5,3,3,11,7,4,3,0,4,,0,1.33333333333333,11,0,1,0,0,1,1,no,2.7198122199463
United States of America_555609816,555609816,Selkirk Crest,0,United States of America,North America,356.998,108.403177777778,55.5086,6,2,4,2,3,9,6,3,2,0,4,,0,2,9,0,1,0,0,1,1,no,2.71318311166065
United States of America_11111503,11111503,Ulm Peak,1988,United States of America,North America,356.998,108.403177777778,55.5086,6,2,4,2,3,9,6,3,2,0,4,,0,2,9,0,1,0,0,1,1,no,2.71267238626631
United States of America_373017,373017,Pearl Peak,1998,United States of America,North America,54.2126,39.7396333333333,51.6,2,2,3,2,2,3,1,2,0,0,1,,,Inf,3,0,1,0,0,1,1,no,2.69728280700818
United States of America_374723,374723,Sims Peak Potholes,1991,United States of America,North America,180.5204,86.2055714285714,72.5003,6,2,4,2,3,7,5,2,3,0,2,,0,0.666666666666667,7,0,1,0,0,1,0.4,no,2.69178227896602
United States of America_366715,366715,Cannon Well,1995,United States of America,North America,180.5204,83.7781857142857,55.5086,5,2,4,2,3,7,5,2,2,0,3,,0,1.5,7,0,1,0,0,1,0.4,no,2.68875577034984
United States of America_11111472,11111472,Binarch Creek,1989,United States of America,North America,356.998,108.403177777778,55.5086,6,2,4,2,3,9,6,3,2,0,4,,0,2,9,0,1,0,0,1,1,no,2.65644118376798
United States of America_11115231,11115231,Last Chance Meadow,1982,United States of America,North America,180.5204,82.1979571428572,74.6449,6,2,4,2,3,7,5,2,2,0,3,,0,1.5,6,1,0.857142857142857,0.142857142857143,0.166666666666667,1,0.4,no,2.64956027107059
United States of America_374600,374600,Sheep Mountain,1996,United States of America,North America,356.998,104.81289,64.00445,7,2,4,2,3,10,7,3,3,0,4,,0,1.33333333333333,10,0,1,0,0,1,1,no,2.6311579630249
United States of America_555661681,555661681,The Bowl,1931,United States of America,North America,356.998,131.465575,77.729,4,1,3,1,3,4,3,1,0,0,3,,,Inf,4,0,1,0,0,0,0,no,2.62743072654195
