control_for,Continent,functional_biome,control_within_dist,unique_id,nitrogen_depo,functional_biome_num,olson_biome_num,climatic_region_num,elevation,MaxTemp,BurnedAreaMean,human_modification,MAT,MAP,EVI,climatic_region,olson_biome,land_cover
United States of America_555662186,North America,TMB,100k,United States of America_555662186_control,670.104736328125,17,4,26,495.392761230469,26.7298374176025,0,0.310255587100983,7.99634265899658,118.902320861816,3662.39575195313,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662193,North America,TMC,100k,United States of America_555662193_control,736.480651855469,5,4,26,340.638580322266,28.6032752990723,0,0.321940511465073,9.25620746612549,105.064933776855,3733.77026367188,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662192,North America,TMB,100k,United States of America_555662192_control,670.104736328125,17,4,26,414.404937744141,27.4748058319092,0,0.497877061367035,8.49980735778809,111.289535522461,3315.125,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662195,North America,TMB,100k,United States of America_555662195_control,735.772216796875,17,4,26,407.437286376953,28.198673248291,0,0.334404110908508,8.8816499710083,116.195014953613,3619.68408203125,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662196,North America,TMC,100k,United States of America_555662196_control,906.888732910156,5,4,26,578.654541015625,27.0666942596436,0,0.0625862553715706,8.03973579406738,110.569221496582,3655.34765625,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662198,North America,TMC,100k,United States of America_555662198_control,1154.82751464844,5,4,26,429.438232421875,27.5172824859619,0,0.389955580234528,9.12951850891113,119.491432189941,3572.48803710938,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662199,North America,TMC,100k,United States of America_555662199_control,706.685424804688,5,4,25,149.66438293457,28.8069839477539,0,0.437552064657211,9.61968517303467,93.0068740844727,3315.60913085938,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662205,North America,TMC,100k,United States of America_555662205_control,1154.82751464844,5,4,26,401.453491210938,28.5305671691895,0,0.393985450267792,9.37105846405029,109.802268981934,3596.89697265625,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662200,North America,TMB,100k,United States of America_555662200_control,670.104736328125,17,4,26,295.616882324219,27.8353233337402,0,0.433640688657761,8.84579849243164,110.072341918945,3440.07690429688,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662207,North America,TMC,100k,United States of America_555662207_control,744.987487792969,5,4,25,249.288772583008,28.9667358398438,0,0.364420205354691,9.45244598388672,86.2387084960938,3627.728515625,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662216,North America,TMC,100k,United States of America_555662216_control,736.585083007813,5,4,26,335.264099121094,29.1520481109619,0,0.16282357275486,8.06143093109131,106.248191833496,3831.6005859375,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestMixed
United States of America_555662211,North America,TMB,100k,United States of America_555662211_control,670.104736328125,17,4,26,563.177307128906,26.6899929046631,0,0.281810313463211,7.90619611740112,114.835754394531,3584.96728515625,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
